Name, Tier, Description
GenericServers,T0,
CertificateAuthorityServers,T0,
SyncServers,T0,
UpdateServers,T0,
VirtualMachineHostServers,T0,
GenericServers,T1,
DatabaseServers,T1,
EndpointManagementServers,T1,
FileServers,T1,
RemoteDesktopBackendServers,T1,
UpdateServers,T1,
WebServers,T1,
GenericServers,T2,
DatabaseServers,T2,
EndpointManagementServers,T2,
FileServers,T2,
RemoteDesktopBackendServers,T2,
UpdateServers,T2,
WebServers,T2,
GenericEndpoints,TE,
DeveloperEndpoints,TE,
KioskEndpoints,TE,
SecureEndpoints,TE,
RemoteDesktopSessionEndpoints,TE,
VirtualDesktopEndpoints,TE,
